| Class        |   Baseline |   Logistic Regression |   GRU_512x2 |   GRU_512x3 |   GRU_512x4 |   GRU_1024x2 |   GRU_1024x3 |   GRU_1024x4 |
|--------------|------------|-----------------------|-------------|-------------|-------------|--------------|--------------|--------------|
| Speech       |      27.05 |                  6.17 |        7.43 |        5.84 |        7.54 |         6.76 |         6.86 |         6.68 |
| Shout        |       9.92 |                  8.79 |        6.59 |        6.53 |        6.43 |         6.7  |         6.4  |         6.52 |
| Chainsaw     |       6.05 |                  2.07 |        1.28 |        1.68 |        1.8  |         1.74 |         1.25 |         1.6  |
| Jackhammer   |       6.36 |                  5.98 |        5    |        4.67 |        4.48 |         4.39 |         4.71 |         5.62 |
| Lawn Mower   |       5.36 |                  4.02 |        3.9  |        3.16 |        2.85 |         3.51 |         2.95 |         3.27 |
| Power Drill  |       8.24 |                  9.36 |        5.67 |        6.01 |        5.82 |         5.85 |         6.07 |         5.44 |
| Dog Bark     |       6.16 |                  2.05 |        1.26 |        1.28 |        1.38 |         1.36 |         1.38 |         1.3  |
| Rooster Crow |       0.48 |                  0.19 |        0.13 |        0.14 |        0.13 |         0.14 |         0.16 |         0.11 |
| Horn Honk    |      13.12 |                  9.49 |        6.93 |        6.73 |        8.42 |         6.08 |         7.76 |         6.99 |
| Siren        |      18.76 |                  5.97 |        4.85 |        5.8  |        5.48 |         4.43 |         5.19 |         6.96 |
| TOTAL        |     101.47 |                 54.08 |       43.05 |       41.83 |       44.34 |        40.97 |        42.72 |        44.48 |
